"BehaviorSpace results (NetLogo 6.2.0)"
"Emergent_Sensing_Accel.nlogo"
"metric_light"
"06/18/2021 14:47:54:897 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0.8151133321966729","0.8686837810317418","0.883558892795924","0.8709370000103039","0.8487233840511206","0.8213668354456478","0.8414041644823961","0.8556416336675726","0.8195901943654688","0.8324004034615059","0.8539248914990322","0.7507436819355855","0.7506850908262422","0.7173682937080066","0.7740434093713344","0.6445824633799051","0.8721765165198248","0.7819809799260111","0.8323905688121824","0.8234104832036595","0.708284182142949","0.802276365242878","0.8656298555930584","0.8199996467324444","0.7763706741879195","0.7679422897817502","0.8810533809227858","0.879549575439837","0.8817715467490147","0.8711914158028246","0.854345788215142","0.8645846876331715","0.7213104286133762","0.8707737837105107","0.8485166499124943","0.7252322182489499","0.7841297225692523","0.8841631262138226","0.7315154113153775","0.5447591567348673","0.8301524237530695","0.7797430618365792","0.8573113593243198","0.794486025276334","0.8761531933133373","0.8783229443376956","0.7410514704507841","0.856346489657026","0.8320699626999797","0.6354199317700058","0.8276958121354915","0.8139967358236577","0.8168246481707664","0.8380555156753975","0.7842773728573638","0.7285327791398819","0.8466479211709304","0.8528365549293888","0.5338959131586829","0.8786724229848869","0.8394998124314841","0.8122953887612807","0.886096954254284","0.8429307736534275","0.8809444235008326","0.8685593635242237","0.8825594432289932","0.7388474766806015","0.8473267551401098","0.8660363369212594","0.8334228838548442","0.8378035225437924","0.8690344791295264","0.855248427916122","0.6162407431719285","0.8805609312549407","0.8806480127840013","0.8629430411385562","0.8795616915993756","0.8640828559094597"
,"0.8005262149698811","0.8703365951584177","0.8847016171487683","0.8661572674774215","0.84376079885052","0.8159697586579765","0.8382250258918096","0.8597273629314113","0.8240846911043094","0.8412213266921053","0.8494710496102471","0.7555947430307304","0.7429624416679412","0.7517601149177846","0.7527729700279413","0.6431580468846096","0.8742223400953869","0.7734653719433812","0.8290703131243142","0.8789444774324886","0.6179313343311588","0.8628521615763689","0.8767504893621877","0.8260363337175296","0.8755060171727957","0.8414041644823961","0.8416127398809272","0.8807380430302683","0.8319596116992621","0.8725972563741464","0.7388404682631248","0.6399706043348601","0.6957153503924524","0.8511421505535085","0.8741517766184443","0.7385206181931494","0.7847829264922448","0.8609076155827815","0.8241579310786634","0.7965688446392656","0.7802285768479349","0.6706753680512256","0.8635887042706829","0.8751172822336561","0.7465269883585216","0.8797003961758512","0.6706753680512256","0.8267635592431246","0.7477464094465629","0.8607675292030021","0.8787929239449999","0.8315959926303316","0.7932027380499688","0.714274482825964","0.7982103600138709","0.8766424047516624","0.8796293959182678","0.8590748874504672","0.7978084416024571","0.8804214355148962","0.8575621579360976","0.8548241403441411","0.8791639752085951","0.8589475133177628","0.7125274929951548","0.8079035199599804","0.8670378929620457","0.7674963395543059","0.8491744153235682","0.875429641111194","0.8266688172344688","0.8681498103542526","0.8715317700205163","0.877326432382874","0.8852038603326886","0.8809444235008326","0.8850603598593804","0.7601806639275234","0.8821991616216669","0.8539248914990322"
,"0.7841311722693409","0.8687004037103225","0.8858049077113902","0.8629428537888583","0.8329126206166438","0.8180495542994353","0.8305419113549105","0.8618803600626759","0.8339247505549654","0.8420238890308218","0.846870162207871","0.7749801346161189","0.7379545529298059","0.875194557864157","0.7052723161988887","0.798169226487312","0.7986500669681804","0.7556953819789756","0.8222333946798291","0.8807920979605083","0.6712821018892553","0.8772988797040369","0.8714898994912335","0.8263738352322119","0.8440581016527735","0.8044269943537016","0.840395483930654","0.8815825763650299","0.8832975560142096","0.8692062069255665","0.729346119183411","0.5989992422730237","0.7574725061813847","0.8253911706757266","0.8089561706594172","0.8112736238654303","0.5024227692553502","0.8691117150101596","0.8704156508886515","0.8444774562722845","0.7864405464760901","0.6818604529521174","0.8609227233895234","0.8820789502933498","0.8730720068580814","0.8853679257967044","0.801807017797258","0.8864281301354567","0.774636504331104","0.8838104110147349","0.8191088479476202","0.8779828031710826","0.860184609426658","0.8350498787019147","0.861615862568229","0.7978019844646451","0.8859339458210252","0.857525638007988","0.7790286218373292","0.7323000505380042","0.7202265212167684","0.7611310360874224","0.862035657683044","0.8823987846777088","0.8582404252945569","0.8151853468067826","0.8631066040008248","0.8825309938684239","0.8739938478812765","0.877022484972745","0.8452035470478234","0.8815237018379241","0.5234746512222257","0.8164859014446446","0.805560930197585","0.8085480753066802","0.8853812078461787","0.8290474844382258","0.8534302500657742","0.876291486162863"
,"0.765699567794196","0.8688453874884295","0.8857942479107439","0.8580526849645376","0.8270414208222547","0.8128357686957345","0.8224179502550543","0.8655712078172667","0.8421644504614363","0.8479644857398334","0.8460202480514722","0.7797211190779414","0.7052818210100555","0.7819809799260111","0.7086993204606777","0.6398125952914235","0.7908799074374241","0.8268618919441916","0.8186739684272057","0.8166854377481055","0.7139736409845159","0.7993481885633235","0.8762041052336381","0.834899955622193","0.8740759708149517","0.8261808503812675","0.885445654941775","0.8640347897984908","0.8822745346849666","0.8665105720490038","0.8377875171686711","0.8653143552781327","0.7299551624066769","0.8459595266357524","0.8367244848774023","0.7672414270075164","0.8775040444469286","0.8596108172690585","0.8712947350317395","0.7815732423746673","0.8092580472408694","0.8777120852694383","0.8565402634124151","0.8661371098675463","0.8841631262138226","0.8172018312104561","0.8053203435633364","0.7262226977962162","0.7532915685130707","0.8711533682107879","0.8483578414829959","0.8189954273546078","0.8660124612315199","0.8458791708811395","0.8621150271275664","0.6853670718956365","0.859480036908744","0.8431352109415846","0.8378092286748702","0.8484663339211994","0.8483951931513045","0.8504448415450161","0.6483035463508227","0.8136055883976392","0.8489296752459632","0.5112586114949558","0.8739667492128667","0.798226176624941","0.8590972005474051","0.8725727281677711","0.7719682204452537","0.8636619525526017","0.7993481885633235","0.8528065547198","0.8035395796564997","0.8802616645688732","0.8390113252047338","0.7701903361307628","0.8040389056593973","0.8441982754153705"
,"0.7449204848416238","0.8661241354721037","0.8854293242063966","0.8538225261485777","0.814460714389984","0.8078212629828476","0.8139967358236577","0.8688626892507193","0.844749353551335","0.8481913342978034","0.8430481575186886","0.6508623041651278","0.6995959290104674","0.8759401227679908","0.6518114166202964","0.8022455039314664","0.7734217305536097","0.8283732335610825","0.8111564119152288","0.8141175283624256","0.7731705480992854","0.8664152676188493","0.8534413348593812","0.8221214320868869","0.8092028021763429","0.7911942009786346","0.8097592696927035","0.8807531812353979","0.8822837156874056","0.8291742315351882","0.7795094546295166","0.8729370018739158","0.7619094030107947","0.8251974923463615","0.7466919203835067","0.810337503737691","0.5911014520128097","0.8572570007903051","0.7615499255976179","0.8004155086351099","0.8112860528112709","0.7215506556440621","0.841069060628886","0.8710649535202968","0.8797224087669433","0.8121971584811327","0.8769778683178465","0.8375749802396601","0.884521729715364","0.8534701562696252","0.8351078333061209","0.8423436131104206","0.8582404252945569","0.7187158544330843","0.815002269721544","0.8525989814453336","0.8823750190927576","0.8301961249331156","0.6357489670395655","0.8487233840511206","0.8555047815563186","0.6768643249540648","0.8853679257967044","0.8220983244891987","0.8688453874884295","0.8575639987205658","0.8760070582090994","0.8651238310595835","0.8579507783350125","0.8802639119523293","0.8459044028649846","0.8491355219288834","0.8317000845923637","0.8486648909640568","0.8826046168140916","0.8546943162287246","0.8429791808413719","0.8705066090740978","0.8415564734673978","0.8126976554192498"
,"0.7213718466369233","0.8628521615763689","0.8847264254768941","0.8481889055072205","0.8077893140242652","0.8034038567841972","0.8054544691422652","0.8707737837105107","0.8457159570702422","0.8523953073014259","0.8406591991891751","0.6098597404890032","0.6140332557710637","0.816000756001025","0.7743935355776612","0.803988464178683","0.8667117039713277","0.8299382572540286","0.823327478083911","0.8121428503409072","0.7643186692946695","0.8626064403250467","0.8805535990476654","0.8725308350428282","0.8734254082100927","0.8126976554192498","0.7982222417017729","0.8847016171487683","0.7877228976339035","0.8581892482266578","0.8157856962028196","0.8586462866519278","0.646861732512781","0.8210600559037916","0.8149892943371856","0.7761113333517695","0.8397327909896484","0.8562777952765008","0.7459256644649541","0.7970801578245332","0.8846641481485942","0.818003925202399","0.6284893854587","0.8118271669558437","0.8576158036992071","0.8092028021763429","0.6514663864482654","0.8124204975239051","0.848648534040432","0.8253407799088612","0.7139736409845159","0.8580942019219363","0.8596695781951098","0.8001779661068952","0.8234678973730218","0.8756691245271924","0.847348584920957","0.8022442619602612","0.6831883339006382","0.884521729715364","0.8649483552877895","0.8452496317048177","0.862647562847533","0.8633823864036889","0.8100844735554046","0.6596314553696492","0.8807204539245451","0.8305221492073467","0.8724403623341448","0.8417988201026352","0.7749801346161189","0.8747093735761526","0.8760049364015813","0.8530514576461797","0.8797154401654065","0.8362795503899432","0.8778955631431826","0.8444825239314514","0.8334228838548442","0.8586462866519278"
,"0.6944939309536755","0.8561925691109387","0.8823746044374685","0.837019942854394","0.8009043696684914","0.8054260909324619","0.8039442285197567","0.8736067185613197","0.8502823617745706","0.8519051782590051","0.83893539951128","0.8011844435992751","0.5697742781686203","0.8293530151518007","0.5950340267906031","0.6714392474070829","0.7218196507991094","0.8332386875022317","0.8029722907541609","0.8110909529418046","0.8478059715023901","0.8096781425737433","0.7434175785724533","0.8354391451632711","0.8674279691694653","0.8149629309670825","0.7888197590645893","0.860473538651024","0.8823987846777088","0.8209651520160817","0.7792983311317521","0.8260432905024708","0.8599397696876576","0.8469165125989964","0.8179140154410416","0.7907061671550707","0.8801420596088424","0.8502823617745706","0.7823637669146685","0.7913432161638786","0.8728203479607971","0.8785875576393851","0.7154412400915549","0.8310580325837907","0.6922226874403338","0.8863400813581674","0.7378938166302182","0.8810533809227858","0.7312222377571105","0.7514584099976833","0.7698862748410672","0.8365310479651846","0.857527509487698","0.8432485241899408","0.8137779125079018","0.8785875576393851","0.881367199506728","0.7615499255976179","0.8126242207845862","0.6007691707200913","0.8717998258067879","0.7692931928466713","0.8719574131868404","0.8659756393318455","0.8079788726879641","0.8807920979605083","0.8660138086882534","0.8698832243548973","0.723905578649209","0.8163339317154643","0.8754781960987729","0.7700022140031084","0.8387319758175009","0.8777025542210324","0.8247752096206913","0.8696885601434896","0.8725972563741464","0.821218580097334","0.8686525034412916","0.8528365549293888"
,"0.6584828773092776","0.85085328352248","0.8807609392786114","0.8304776235931446","0.7867018846404868","0.8107374664248701","0.7960854414672013","0.8760070582090994","0.8500883797151234","0.8530790251758541","0.8377854384594848","0.8038137979484342","0.7041692951732853","0.8361232814976006","0.6232337739427161","0.8150726081746954","0.7087893237663409","0.6842408947040877","0.8342275896210999","0.8099530545252087","0.791356695876226","0.8185682091087374","0.8780349698848999","0.8384772071673674","0.8088284292670092","0.8220410309128747","0.8622713971165759","0.8859966577087619","0.8814940778476117","0.7986500669681804","0.8233405929900159","0.7131788446345204","0.5603151248498018","0.8217103529369358","0.8212024474667637","0.8197130121534298","0.7900434816581877","0.880505464033203","0.8624463448324426","0.7831751868000975","0.8486549564585701","0.7916373849999576","0.8677965231547434","0.8329126206166438","0.8654165380440517","0.8430547547054654","0.7086981641640433","0.8553994916669889","0.7850557590886339","0.8805018216113906","0.8594962014401474","0.8097804235078725","0.8751597669262039","0.7895313342327193","0.8249126075077347","0.838512681731787","0.861061531190088","0.8536915132311517","0.7763706741879195","0.8432551943047117","0.39477139716177123","0.7742205932579942","0.8220220666559468","0.8754781960987729","0.8198427909147856","0.809139239561598","0.7326227879650293","0.7931296698030015","0.8781196403681595","0.8060216611778156","0.8073081430654706","0.882032748734198","0.8218202867143218","0.8201800750158718","0.8297260816883205","0.8847264254768941","0.8739333068756646","0.8377615334279988","0.8140246848667988","0.8688859364453976"
,"0.626314470646373","0.8465734487924204","0.8765195206505074","0.8235329387685151","0.7795409807887661","0.810337503737691","0.7901602134982665","0.8776846538297483","0.852201330103064","0.8514145777329197","0.837596699325322","0.8089690467253471","0.7052723161988887","0.8523527429037427","0.8045602634492094","0.7166111481484334","0.850890202140821","0.8366870717274915","0.8369878469446621","0.806511778200806","0.8332386875022317","0.8093032064128904","0.6858951992509348","0.8737633036465691","0.8769835798166349","0.8252406472417276","0.8622126783052486","0.8864281301354567","0.7152549278303979","0.8432485241899408","0.8367651008536523","0.8776692606004911","0.5960391784561018","0.8114480267190766","0.8232205545080502","0.8197068051297924","0.7906161224065351","0.8794247647099187","0.732410270844496","0.7725310450485142","0.8500091379176656","0.8332067275572695","0.8136161565206925","0.8694042519586906","0.8864281301354567","0.8808422138151669","0.6578971187506449","0.8250080313868728","0.8803917177110875","0.8651449672972904","0.8394869722578139","0.8590227627940801","0.8857942479107439","0.6737400475936235","0.8696930565475357","0.879439617189172","0.7615188575219249","0.855173002770991","0.8436528872085421","0.8860817448211586","0.8303181876375154","0.7660637553872346","0.711131348514279","0.7634548846341521","0.7800497517754618","0.8789953515353129","0.7562832107662383","0.750306487764732","0.8089690467253471","0.8534302500657742","0.751066759216718","0.8705066090740978","0.8444825239314514","0.8758533273113135","0.684328968070417","0.8082996431522871","0.8623191824373694","0.8629428537888583","0.7749801346161189","0.8407112087638138"
,"0.5494838543281138","0.8396108927539829","0.8741193186428566","0.8074660484289867","0.765699567794196","0.8113204950187877","0.7852646534915294","0.8796135721439318","0.8485326550884137","0.8516970966739615","0.8385928906335418","0.5338791347177674","0.5961147354857608","0.8650604690186876","0.6879229079681495","0.8234104832036595","0.849524579959428","0.8349381135940392","0.8392027376667728","0.8070198604038155","0.823460365099196","0.8324018638734298","0.8688131909871867","0.7984169673261723","0.8012740964957872","0.827576332948341","0.8733633774774339","0.8865569901097144","0.8698184915599361","0.8556305467205205","0.7956481798465421","0.8423436131104206","0.7517923070421286","0.8365014770115161","0.8718769224509696","0.8376699304099801","0.8638644834067628","0.8783689089682605","0.8698421692297661","0.831183209926937","0.8057331560743688","0.7675115175551787","0.8138209921941769","0.8371145954431005","0.868154784834499","0.84534999855101","0.883010013620471","0.7844634890674749","0.8696885601434896","0.8822745346849666","0.7455898327516337","0.823327478083911","0.8463736514949995","0.6560100974379186","0.8590503439640041","0.7301488598210976","0.8534561991375095","0.7067847460726782","0.6335682638745233","0.8283184463941807","0.8865238112063002","0.8377615334279988","0.8827335191802489","0.8664152676188493","0.7892831579993905","0.8654165380440517","0.8797298660410966","0.845332060955638","0.8088306951784596","0.8686884685638274","0.8554215403649551","0.881892333658828","0.8147532931170776","0.8789506410845962","0.840395483930654","0.8658166311705789","0.8684234071131074","0.7684084033247651","0.8075962593457908","0.8659756393318455"
,"0.5712324940407179","0.8253407799088612","0.8714898994912335","0.8003791206093356","0.7593539121400081","0.8136731005595406","0.7816820375775615","0.8810669861478403","0.8471190448766319","0.8490471705906043","0.8002243050057833","0.6188779009772261","0.6521536268520458","0.8650126818982361","0.8231039796984833","0.8268730395085888","0.8377143261943598","0.8367602867240598","0.8421863347415599","0.8828092622920131","0.8213668354456478","0.8260496915089703","0.8748053337687769","0.7938941279692315","0.8782919236572366","0.7291832476299701","0.7382729479693899","0.8850603598593804","0.8623338036501189","0.8365014770115161","0.7997530718274798","0.8501784418923957","0.7219490039484942","0.7959456307099809","0.8701885475327088","0.8657068393010063","0.8100609202059953","0.8145249253467927","0.8523527429037427","0.8250080313868728","0.8096762517330327","0.6379058116413918","0.8825251033734084","0.7830374000290132","0.8703822613107383","0.8081476869713079","0.6858967753025511","0.7964266335958435","0.8305419113549105","0.7050766437531056","0.8367409065606104","0.8124204975239051","0.8864281301354567","0.8795716501204784","0.8564791888151195","0.8689621246017845","0.8677965231547434","0.7381222664402222","0.8694460149182048","0.8009043696684914","0.8864281301354567","0.7195156587390149","0.8789444774324886","0.862112587399116","0.8728288142895095","0.872131512982249","0.8629038923371878","0.7611383864721266","0.8019685757831401","0.8383331896887785","0.8596231768300466","0.8596108172690585","0.8240456706573869","0.8795727258658763","0.8339625186488163","0.8085329539256757","0.8639807283523806","0.7968420159491996","0.8179642767874382","0.8516494223170037"
,"0.5943445879384821","0.8155692361814685","0.8656298555930584","0.7910833796019703","0.7536621910959096","0.8200044483905086","0.7853919649195311","0.8837074809423398","0.8433168576226853","0.8478059715023901","0.8424419738620423","0.6566124576123533","0.7095685748635819","0.8510697336119849","0.8312095261091049","0.7640885970644724","0.5266725483375156","0.8384772071673674","0.770475084916751","0.881659512895089","0.8201800750158718","0.7594044909210874","0.6140332557710637","0.7830825897987197","0.8782919236572366","0.7121461381455039","0.7093799610511686","0.853183810093599","0.857525638007988","0.6938634208823672","0.8105613975483938","0.7995615536564342","0.8191838759255761","0.7885084331245628","0.8830737286869671","0.789596623282136","0.8717575996200524","0.8805609312549407","0.7740888227191274","0.831708530040049","0.6636047709003223","0.8814328072603047","0.7924548937541718","0.7165481239440199","0.8632873342435625","0.8788716430251274","0.6672596741587051","0.758022596559396","0.867200199130627","0.7557962179632706","0.7867929198643258","0.7410373470629283","0.8596695781951098","0.8773422535224437","0.8123013327807671","0.8770959273881241","0.8619000816904917","0.8468197517825483","0.8077636739810006","0.5191301837079254","0.8364433114117291","0.7193400437448533","0.7536529360217443","0.8760989416698648","0.8263960002287138","0.803292309680099","0.6853134495417597","0.856200993238849","0.879578093950887","0.882866545241286","0.8829953075527411","0.8177743424476579","0.8523527429037427","0.868719361165442","0.8811340151912023","0.8066628698416871","0.8722249366339601","0.8428480054368924","0.8305419113549105","0.8540620494822864"
,"0.657246547085897","0.8046265548330076","0.8624463448324426","0.7749098483709045","0.74512070680501","0.82932077929503","0.7896732329873017","0.8847009781263288","0.838804351693273","0.839829769895899","0.7944626373524624","0.7036807121209139","0.7252322182489499","0.8451505496250293","0.838401898765205","0.8371145954431005","0.47327124052116776","0.7287731922677501","0.7736815381551003","0.880324781819392","0.8261307157187537","0.7121785273339307","0.8785632444276268","0.8440938288703843","0.7672383824088344","0.7104991123930755","0.8692062069255665","0.8468327132896393","0.8801420596088424","0.7115741003435939","0.7497889440582509","0.87144357664729","0.7155248525195629","0.8586819036219463","0.739581564475295","0.8552394935322549","0.7792983311317521","0.8729304356642293","0.7112535890782441","0.8297122040268965","0.8652692041539827","0.8821991616216669","0.8569188827413119","0.8644809169103549","0.8691117150101596","0.8157190196240744","0.6927522946249172","0.8176458339376581","0.7896732329873017","0.6470304223761651","0.8104910825778843","0.8200044483905086","0.8629038923371878","0.839022427301076","0.8355422580119077","0.8617900393501363","0.881899628063975","0.7718772482315704","0.7427704900676848","0.8280620293979613","0.8576963530693746","0.8802104731142623","0.8802686616364206","0.8187242240434321","0.8618985339464885","0.8737865865316443","0.8793494384978258","0.8582404252945569","0.8544414653551174","0.8845171858382205","0.8825788961936724","0.8740759708149517","0.8018302866232756","0.8188997696898311","0.8657294433054419","0.8806480127840013","0.8709659881252477","0.7833402273153702","0.7847407578161543","0.8370105732562172"
,"0.6840593513049198","0.7838665557063769","0.859128161874718","0.7645234849214185","0.7575670666375427","0.8337782866740898","0.7916133174321798","0.8855531664639918","0.8268580462359594","0.8366870717274915","0.8469165125989964","0.8073081430654706","0.7199080713674086","0.8385582444973059","0.7992561022458127","0.7994440172341196","0.8077893140242652","0.8423763563256621","0.8436024360460931","0.7976486114421565","0.8282475144546625","0.7895313342327193","0.8801171418745615","0.7455898327516337","0.8745557352668347","0.6976402264829457","0.6571004543781939","0.878670558930533","0.5220597140841441","0.6827627508453629","0.8507943912134642","0.8722363447179113","0.8552551947198925","0.772332379658764","0.8596695781951098","0.7871843142907746","0.8309933900063423","0.7818488140281972","0.6822970853696371","0.8069626331562219","0.8832150900346181","0.6801976783720067","0.8515725120953592","0.8506317204692441","0.8360711827070539","0.6335682638745233","0.6875304999566448","0.848653700482302","0.8619261511617852","0.8778955631431826","0.8487233840511206","0.859861741235055","0.702290412120824","0.878435643206323","0.7953115381295764","0.8573136293407284","0.8663434412267732","0.8407161897166464","0.8257850752835876","0.5024227692553502","0.7631500026389221","0.8782593621551957","0.8457588227806175","0.8740759708149517","0.7914973018354939","0.8562584006900111","0.8797224087669433","0.8501064706572031","0.8318002792146852","0.884299029548252","0.7317191827752907","0.8760029751164644","0.7588686561995845","0.8776939242653263","0.8170655486633693","0.8823296631743929","0.8689606218315019","0.7316422277491164","0.8593052395117458","0.8626235394277646"
,"0.709074205493754","0.7695598883159106","0.8522018064636359","0.7499537283551907","0.7562832107662383","0.838512681731787","0.7950101253621071","0.886096954254284","0.8192925753076148","0.8312095261091049","0.8501595406704878","0.7517601149177846","0.7401676936756014","0.8821238490621812","0.8128063039900449","0.8466479211709304","0.5899902329369429","0.8430547547054654","0.837839186046188","0.8752756102931399","0.7591361549729978","0.7723858828007367","0.6928439583469563","0.8438991151121327","0.8694042519586906","0.8111564119152288","0.8424081181286918","0.8361490572603203","0.8319596116992621","0.8402392632363905","0.6956177656666316","0.771667149016317","0.8623338036501189","0.8201438306137225","0.8280287783565675","0.861814678125146","0.6896540487894642","0.7999815756087832","0.8431551747708278","0.8140486730870848","0.8766144847034976","0.8374355471784123","0.7931937474033609","0.8486902782834722","0.8739667492128667","0.868569729282638","0.6767200644546046","0.6789959697384578","0.7611354207528603","0.7953115381295764","0.8838728679194316","0.6772508830161589","0.8837651226720469","0.6586281460818425","0.8337110087769044","0.8571182449607949","0.8752189674079884","0.7257930023299449","0.803988464178683","0.885624753785488","0.8098552583777406","0.5899902329369429","0.8843547441411876","0.8648369298124035","0.8513339011878821","0.8786926644062244","0.879489800685537","0.8645458150395257","0.791112700875396","0.8846284341300904","0.7636071336343367","0.8728572035582544","0.8197130121534298","0.8826046168140916","0.7624385044985039","0.8860817448211586","0.8569070378200361","0.8217395723545676","0.8704156508886515","0.8594283839968376"
,"0.7317191827752907","0.7469017619207228","0.8486549564585701","0.7396296785119307","0.7573177142841963","0.8433168576226853","0.7997105604918215","0.886342645159605","0.8010210735567962","0.8270778229459208","0.853462162729808","0.7720267060155055","0.7786954068528786","0.8830737286869671","0.8228278528589911","0.8279745780204838","0.6524920261521678","0.8431381562357009","0.7733640931806885","0.8732551146906482","0.7434458225201697","0.8462596539659188","0.7165481239440199","0.8454906819166041","0.8751172822336561","0.806794287335638","0.6185424688016568","0.8326096069813214","0.8776354780282136","0.8392970745449082","0.8099614897407623","0.8687915450115498","0.7183366154139468","0.762178207872831","0.6595878456096994","0.840692046810728","0.8523527429037427","0.75527616811369","0.8323641940794928","0.7999815756087832","0.8741698680016792","0.7538579757104309","0.8728288142895095","0.853466955176782","0.8737865865316443","0.8714234031484879","0.823460365099196","0.8410616028394823","0.8795288864420014","0.8220410309128747","0.8762041052336381","0.8743624874265508","0.5775578600988248","0.660342598186868","0.8256725702154217","0.8781397127570962","0.8703822613107383","0.7083455906648252","0.8725469241247542","0.8237472828319031","0.8751172822336561","0.8544777503466945","0.8547919042843725","0.8752189674079884","0.7618865556897126","0.8368810977864694","0.8516124631500912","0.8256398131278232","0.8749165060022821","0.8460202480514722","0.8759933624127075","0.8459796049699038","0.8793662801333719","0.8629383337327118","0.8772988797040369","0.8309933900063423","0.8850771680210712","0.7316422277491164","0.8741493179010351","0.8122447545091429"
,"0.7664357447665424","0.7303796602255737","0.845095452002742","0.7382729479693899","0.7623061935606749","0.8484318092095278","0.8067856589830761","0.8866774431817291","0.7873703347098855","0.8128357686957345","0.8566765653684631","0.7901771402791364","0.7726020859231195","0.8847009781263288","0.834050609965217","0.8346382656776908","0.6850014491183206","0.8409186892692442","0.8347698376812931","0.7952524766098832","0.8659343593721478","0.6767200644546046","0.7410767998905737","0.8394998124314841","0.8686837810317418","0.8038024325927898","0.6105827609623633","0.8326096069813214","0.6281374286737602","0.6781382190806134","0.5152541493642078","0.8649447981248176","0.7459988286728694","0.6858967753025511","0.7688686883067747","0.8391992024366632","0.8033611070622643","0.7886948636967922","0.8513415837300481","0.8312570907915502","0.8415235908290115","0.7556953819789756","0.8821238490621812","0.711131348514279","0.8613942769771805","0.8585056001664485","0.7845468565783608","0.7980845521199049","0.8819878841210388","0.5706307680382419","0.8809530615632476","0.8336985832813977","0.6520885162241605","0.8336166195652752","0.809514868368886","0.7888965144219929","0.8723952722200519","0.7801055020631141","0.8122136185203872","0.8745362865065578","0.8320753061284019","0.8545462660180966","0.8771826602980682","0.6152720441126961","0.8492185025749024","0.7535125303199383","0.8707833180903779","0.7632498087371291","0.8433047079210265","0.8780357041890665","0.8824835838046076","0.8533620780583053","0.7916059629541126","0.8363677003726718","0.8737865865316443","0.8099945620543938","0.8802686616364206","0.837596699325322","0.7692931928466713","0.8498034170778057"
,"0.7824905055728104","0.7152765314358788","0.8415564734673978","0.7198953509100954","0.7659685156457151","0.8536915132311517","0.8128443521330606","0.8865569901097144","0.7742168992558541","0.8078212629828476","0.7972612648018488","0.813819064301389","0.8044269943537016","0.7796619019129031","0.841792985769023","0.8578286350871683","0.7118583911419607","0.8104910825778843","0.7843823292970047","0.7864405464760901","0.872036357113615","0.7786954068528786","0.8824562625769681","0.8385584645551298","0.8661540000758717","0.7910629754287699","0.8738501004982098","0.8318002792146852","0.8680279067563893","0.665028121229005","0.716617853574526","0.8686770537278521","0.7643186692946695","0.7740434093713344","0.7194956480003386","0.8143586592330857","0.8718769224509696","0.72639497479361","0.8533624573277023","0.8068888987741101","0.8709370000103039","0.7003820229368976","0.7954383525498638","0.5947888034546094","0.87144357664729","0.8060581774686999","0.7016360594937601","0.832189621515275","0.687587486588232","0.594174952447172","0.8443004059105719","0.7888517449965351","0.7572759174820867","0.8421173294979954","0.7811584076644623","0.8619000816904917","0.8826364874502168","0.8432551943047117","0.7162411367409705","0.8643638820783663","0.8442760845836577","0.8487858981153317","0.8103724050658869","0.8551906906555501","0.8670696519679415","0.8745557352668347","0.8797224087669433","0.7767059113767316","0.839367801583313","0.8256201750570293","0.8709659881252477","0.8619261511617852","0.7586511704238806","0.8221563948180106","0.8513339011878821","0.8807991728915351","0.8466479211709304","0.8355422580119077","0.8462596539659188","0.8820284830288962"
